id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
81,anh,"[{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821}]",62,NOUN,,,
82,chơi,"[{""sounds"":[""tɕ""],""id"":4,""letters"":[""c"",""h""],""usageCount"":588},{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424}]",62,VERB,,,
83,bà,"[{""sounds"":[""ɓ""],""id"":15,""letters"":[""b""],""usageCount"":638},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252}]",62,NOUN,,,
84,cô,"[{""sounds"":[""k""],""id"":6,""letters"":[""c""],""usageCount"":2245},{""sounds"":[""o""],""id"":26,""letters"":[""ô""],""usageCount"":1126}]",62,NOUN,,,
85,bị,"[{""sounds"":[""ɓ""],""id"":15,""letters"":[""b""],""usageCount"":638},{""sounds"":[""i""],""id"":10,""letters"":[""i""],""usageCount"":1424},{""sounds"":[""∅""],""id"":33,""letters"":[""◌̣""],""usageCount"":1293}]",60,NOUN,,,
86,giờ,"[{""sounds"":[""z""],""id"":47,""letters"":[""g"",""i""],""usageCount"":64},{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252}]",64,NOUN,,,
87,người,"[{""sounds"":[""ŋ""],""id"":36,""letters"":[""n"",""g""],""usageCount"":1386},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752},{""sounds"":[""ə""],""id"":34,""letters"":[""ơ""],""usageCount"":861},{""sounds"":[""∅""],""id"":24,""letters"":[""◌̀""],""usageCount"":2252},{""sounds"":[""j""],""id"":12,""letters"":[""i""],""usageCount"":862}]",62,NOUN,,,
88,nữa,"[{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547},{""sounds"":[""ɯ""],""id"":42,""letters"":[""ư""],""usageCount"":752},{""sounds"":[""∅""],""id"":25,""letters"":[""◌̃""],""usageCount"":644},{""sounds"":[""a""],""id"":1,""letters"":[""a""],""usageCount"":3574}]",62,ADVERB,,,
89,vẫn,"[{""sounds"":[""v""],""id"":23,""letters"":[""v""],""usageCount"":683},{""sounds"":[""ɤ̆""],""id"":43,""letters"":[""â""],""usageCount"":568},{""sounds"":[""∅""],""id"":25,""letters"":[""◌̃""],""usageCount"":644},{""sounds"":[""n""],""id"":7,""letters"":[""n""],""usageCount"":1547}]",58,ADJECTIVE,,,
90,nhé,"[{""sounds"":[""ɲ""],""id"":2,""letters"":[""n"",""h""],""usageCount"":821},{""sounds"":[""ɛ""],""id"":20,""letters"":[""e""],""usageCount"":498},{""sounds"":[""∅""],""id"":29,""letters"":[""◌́""],""usageCount"":1935}]",46,,,,
