id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
67,को,"[{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2744},{""sounds"":[""oː""],""id"":21,""letters"":[""ो""],""usageCount"":1280}]",321,,PERFECT,,
68,हैं,"[{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914},{""sounds"":[""ɛː""],""id"":2,""letters"":[""ै""],""usageCount"":1282},{""sounds"":[""◌̃""],""id"":42,""letters"":[""ं""],""usageCount"":1211}]",387,,PERFECT,,
69,उसे,"[{""sounds"":[""ʊ""],""id"":43,""letters"":[""उ""],""usageCount"":398},{""sounds"":[""s""],""id"":5,""letters"":[""स""],""usageCount"":1336},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806}]",80,PRONOUN,,,
70,रे,"[{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806}]",7,,PERFECT,,
71,मानता,"[{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""n"",""ə""],""id"":22,""letters"":[""न""],""usageCount"":331},{""sounds"":[""t""],""id"":9,""letters"":[""त""],""usageCount"":1140},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",5,VERB,,,
72,थी,"[{""sounds"":[""tʰ""],""id"":17,""letters"":[""थ""],""usageCount"":467},{""sounds"":[""iː""],""id"":16,""letters"":[""ी""],""usageCount"":2164}]",98,VERB,PERFECT,,
73,का,"[{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2744},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039}]",193,PREPOSITION,PERFECT,,
74,पंद्रह,"[{""sounds"":[""p"",""ə""],""id"":25,""letters"":[""प""],""usageCount"":505},{""sounds"":[""◌̃""],""id"":42,""letters"":[""ं""],""usageCount"":1211},{""sounds"":[""d""],""id"":41,""letters"":[""द""],""usageCount"":482},{""sounds"":[""ɾ"",""ə""],""id"":35,""letters"":[""र""],""usageCount"":338},{""sounds"":[""ɦ"",""ə""],""id"":34,""letters"":[""ह""],""usageCount"":434}]",2,NUMBER,,,
75,सोलह,"[{""sounds"":[""s""],""id"":5,""letters"":[""स""],""usageCount"":1336},{""sounds"":[""oː""],""id"":21,""letters"":[""ो""],""usageCount"":1280},{""sounds"":[""l"",""ə""],""id"":44,""letters"":[""ल""],""usageCount"":149},{""sounds"":[""ɦ""],""id"":1,""letters"":[""ह""],""usageCount"":2914}]",3,NUMBER,,,
76,मछलियाँ,"[{""sounds"":[""m"",""ə""],""id"":45,""letters"":[""म""],""usageCount"":89},{""sounds"":[""t"",""ʃʰ""],""id"":8,""letters"":[""छ""],""usageCount"":165},{""sounds"":[""l"",""ə""],""id"":44,""letters"":[""ल""],""usageCount"":149},{""sounds"":[""j"",""ə""],""id"":46,""letters"":[""य""],""usageCount"":122},{""sounds"":[""◌̃""],""id"":29,""letters"":[""ँ""],""usageCount"":285}]",6,NOUN,,,
77,मकान,"[{""sounds"":[""m"",""ə""],""id"":45,""letters"":[""म""],""usageCount"":89},{""sounds"":[""k""],""id"":14,""letters"":[""क""],""usageCount"":2744},{""sounds"":[""aː""],""id"":10,""letters"":[""ा""],""usageCount"":3039},{""sounds"":[""n""],""id"":3,""letters"":[""न""],""usageCount"":1265}]",19,NOUN,,,
78,में,"[{""sounds"":[""m""],""id"":11,""letters"":[""म""],""usageCount"":1256},{""sounds"":[""eː""],""id"":4,""letters"":[""े""],""usageCount"":3806},{""sounds"":[""◌̃""],""id"":42,""letters"":[""ं""],""usageCount"":1211}]",459,PREPOSITION,,,
79,घर,"[{""sounds"":[""ɡʱ"",""ə""],""id"":48,""letters"":[""घ""],""usageCount"":56},{""sounds"":[""ɾ""],""id"":24,""letters"":[""र""],""usageCount"":1768}]",55,NOUN,,,
80,इग्लू,"[{""sounds"":[""ɪ""],""id"":49,""letters"":[""इ""],""usageCount"":148},{""sounds"":[""g""],""id"":50,""letters"":[""ग""],""usageCount"":237},{""sounds"":[""l""],""id"":39,""letters"":[""ल""],""usageCount"":685},{""sounds"":[""uː""],""id"":13,""letters"":[""ु""],""usageCount"":199}]",5,NOUN,,,
