id,content_type,content_license,attribution_url,title,file_size,checksum_md5,checksum_github,download_url,image_format,dominant_color
1344,image/jpg,,,सालाना बाल-कटाई दिवस_ch-5,77844,10b5167e347c682a1a617a358eabfe77,6150c121bbdec14722426d9ebf326ae6cd0cf576,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/10b5167e347c682a1a617a358eabfe77.jpg,JPG,"134,202,239"
1345,image/jpg,,,सालाना बाल-कटाई दिवस_ch-6,61990,fb61e38cfad61fe6043e3f6db11be8d2,adff2c20ecd80e66c1ab1ab55d99768668269c4d,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/fb61e38cfad61fe6043e3f6db11be8d2.jpg,JPG,"206,152,183"
1346,image/jpg,,,सालाना बाल-कटाई दिवस_ch-7,55658,e30fc589e1bf776523f9704241cd2327,81a3545945a2e3b1d07be3dae952d14473fb6482,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/e30fc589e1bf776523f9704241cd2327.jpg,JPG,"247,185,11"
1347,image/jpg,,,सालाना बाल-कटाई दिवस_ch-8,75021,6bc48a1e035bc041e3d79f68efb769e0,3607438e1c14ad05a88c811c2c7b741ef846b7c2,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/6bc48a1e035bc041e3d79f68efb769e0.jpg,JPG,"127,190,218"
1348,image/jpg,,,सालाना बाल-कटाई दिवस_ch-9,64469,c700b176b6264c62a5311056844fcefc,b72d448b502ca5fe8b543e7522842c277e0dcc37,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c700b176b6264c62a5311056844fcefc.jpg,JPG,"148,177,214"
1349,image/jpg,,,सालाना बाल-कटाई दिवस_ch-10,72037,b7c47bef2be6698d28f78dd7c3ae9fdf,08135ebfe40432fda169f328d76fdf2883845669,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/b7c47bef2be6698d28f78dd7c3ae9fdf.jpg,JPG,"205,218,215"
1350,image/jpg,,,सालाना बाल-कटाई दिवस_ch-11,69363,f52cd0d4447bcdebac992bf263593af4,0bc83668375de4047a9d2c0b9bebc7bfbf1823c3,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/f52cd0d4447bcdebac992bf263593af4.jpg,JPG,"200,199,214"
1351,image/jpg,,,सालाना बाल-कटाई दिवस_ch-12,61245,e9ba3f915d15e1c33f0dd53905d23235,3815a55bf691f5e3acdc911f6b441861cf971703,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/e9ba3f915d15e1c33f0dd53905d23235.jpg,JPG,"183,148,46"
1352,image/jpg,,,सालाना बाल-कटाई दिवस_ch-13,54298,eca8db839b765c5dbf4d80abcd547d85,aeb5f7dc5e6634df8b30e54788f4fface515993b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/eca8db839b765c5dbf4d80abcd547d85.jpg,JPG,"142,134,35"
1353,image/jpg,,,सालाना बाल-कटाई दिवस_ch-14,48671,c279dfcf58af8a1a2f77909b8e54dceb,2bbe616791c4dd320da2a65841337f888cf1b074,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/c279dfcf58af8a1a2f77909b8e54dceb.jpg,JPG,"176,167,160"
1354,image/jpg,,,सालाना बाल-कटाई दिवस_ch-15,57219,5d97adc5994d7ab216756dc72a2fae4e,f1979aa96ef005855edc34e38ef6813fad5691c3,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/5d97adc5994d7ab216756dc72a2fae4e.jpg,JPG,"170,166,161"
1355,image/jpg,,,सालाना बाल-कटाई दिवस_ch-16,68304,e3865e22da3b5efbd812d2f3d429ebd4,6b4e99e33ddaa4a38b485d143f63e03b2b44b18b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/e3865e22da3b5efbd812d2f3d429ebd4.jpg,JPG,"165,160,157"
1356,image/jpg,,,सालाना बाल-कटाई दिवस_ch-17,72026,b599cd8bbab846b3328614e253d10c87,8875cbc8cc8b14d20be45f8331868b3600de642b,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/b599cd8bbab846b3328614e253d10c87.jpg,JPG,"183,176,169"
1357,image/jpg,,,सालाना बाल-कटाई दिवस_ch-18,81828,19637199e912a401a5176fa66a4e144a,9086b31141b841cfc92c7e0e4bfc87dcade6e016,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/19637199e912a401a5176fa66a4e144a.jpg,JPG,"224,186,113"
1358,image/jpg,,,सालाना बाल-कटाई दिवस_ch-19,52850,d314f15d80cb2016bd8847704bea3b99,b5df9af8d808b6336b9415e8859861e38e3cdf09,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/d314f15d80cb2016bd8847704bea3b99.jpg,JPG,"200,146,83"
1359,image/jpg,,,सालाना बाल-कटाई दिवस_ch-20,58737,59ee578870c8de174410d9367333018b,99c26b653edb8b84654028db6d376d1b26ce4d83,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/59ee578870c8de174410d9367333018b.jpg,JPG,"237,217,107"
1360,image/png,,,सालाना बाल-कटाई दिवस_ch-23,18676,3fd8d3525129144a89d777226915cc88,9985f4530ee7e24f7ca3b31b84855c7ef676d9f9,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3fd8d3525129144a89d777226915cc88.png,PNG,"4,4,4"
1361,image/jpg,,,सबरंग_cover,46698,3ff5e74fa5698297448eebd44d0155ab,8b5a35282c47e852eb70d68c364f4bb35add0232,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3ff5e74fa5698297448eebd44d0155ab.jpg,JPG,"44,127,146"
1362,image/jpg,,,सबरंग_ch-1,46698,3ff5e74fa5698297448eebd44d0155ab,8b5a35282c47e852eb70d68c364f4bb35add0232,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/3ff5e74fa5698297448eebd44d0155ab.jpg,JPG,"44,127,146"
1363,image/jpg,,,सबरंग_ch-2,81067,ea27b1d5f96ea0d71ba1ba4d72a0b44b,150631e7f737fc99d6786ad8e4c28b3ee1b3160e,https://raw.githubusercontent.com/elimu-ai/webapp-lfs/main/lang-HIN/images/ea27b1d5f96ea0d71ba1ba4d72a0b44b.jpg,JPG,"133,108,94"
