id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
52,พวก,"[{""sounds"":[""pʰ"",""o""],""id"":54,""letters"":[""พ""],""usageCount"":54},{""sounds"":[""w"",""a""],""id"":55,""letters"":[""ว""],""usageCount"":54},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",54,PRONOUN,,,
53,ยีราฟ,"[{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45},{""sounds"":[""iː""],""id"":16,""letters"":[""◌ี""],""usageCount"":70},{""sounds"":[""r"",""a""],""id"":56,""letters"":[""ร""],""usageCount"":6},{""sounds"":[""f""],""id"":10,""letters"":[""ฟ""],""usageCount"":8}]",1,NOUN,,,
54,หมา,"[{""sounds"":[""m""],""id"":57,""letters"":[""ห"",""ม""],""usageCount"":6},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",1,NOUN,,,
55,ชาย,"[{""sounds"":[""tɕʰ""],""id"":58,""letters"":[""ช""],""usageCount"":33},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45}]",33,NOUN,,,
56,สาว,"[{""sounds"":[""s"",""a""],""id"":37,""letters"":[""ส""],""usageCount"":6},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94}]",6,NOUN,,,
57,หยิบ,"[{""sounds"":[""y""],""id"":59,""letters"":[""ห"",""ย""],""usageCount"":5},{""sounds"":[""i""],""id"":23,""letters"":[""◌ิ""],""usageCount"":22},{""sounds"":[""p""],""id"":2,""letters"":[""บ""],""usageCount"":59}]",5,VERB,,,
58,จักรยาน,"[{""sounds"":[""tɕ""],""id"":24,""letters"":[""จ""],""usageCount"":109},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""r"",""a""],""id"":56,""letters"":[""ร""],""usageCount"":6},{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",5,NOUN,,,
59,วัน,"[{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",13,NOUN,,,
60,กระรอก,"[{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""r""],""id"":27,""letters"":[""ร""],""usageCount"":32},{""sounds"":[""a""],""id"":61,""letters"":[""◌ะ""],""usageCount"":137},{""sounds"":[""r""],""id"":27,""letters"":[""ร""],""usageCount"":32},{""sounds"":[""ɔː""],""id"":31,""letters"":[""◌อ""],""usageCount"":181},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",10,NOUN,,,
61,กัน,"[{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",33,ADVERB,,,
62,มัน,"[{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",61,PRONOUN,,,
63,นก,"[{""sounds"":[""n"",""o""],""id"":62,""letters"":[""น""],""usageCount"":10},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",10,NOUN,,,
64,ทาง,"[{""sounds"":[""tʰ""],""id"":43,""letters"":[""ท""],""usageCount"":22},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""ŋ""],""id"":4,""letters"":[""ง""],""usageCount"":227}]",22,NOUN,,,
65,หิน,"[{""sounds"":[""h""],""id"":19,""letters"":[""ห""],""usageCount"":10},{""sounds"":[""i""],""id"":23,""letters"":[""◌ิ""],""usageCount"":22},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",4,NOUN,,,
66,นะ,"[{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395},{""sounds"":[""a""],""id"":61,""letters"":[""◌ะ""],""usageCount"":137}]",20,,,,
67,หมี,"[{""sounds"":[""m""],""id"":57,""letters"":[""ห"",""ม""],""usageCount"":6},{""sounds"":[""iː""],""id"":16,""letters"":[""◌ี""],""usageCount"":70}]",5,NOUN,,,
68,ลูก,"[{""sounds"":[""l""],""id"":22,""letters"":[""ล""],""usageCount"":133},{""sounds"":[""uː""],""id"":17,""letters"":[""◌ู""],""usageCount"":56},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",25,NOUN,,,
69,ขวา,"[{""sounds"":[""kʰ""],""id"":38,""letters"":[""ข""],""usageCount"":149},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",3,ADJECTIVE,,,
70,มากมาย,"[{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""m""],""id"":12,""letters"":[""ม""],""usageCount"":237},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315},{""sounds"":[""y""],""id"":14,""letters"":[""ย""],""usageCount"":45}]",4,ADVERB,,,
71,กิน,"[{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""i""],""id"":23,""letters"":[""◌ิ""],""usageCount"":22},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",8,VERB,,,
72,จะ,"[{""sounds"":[""tɕ""],""id"":24,""letters"":[""จ""],""usageCount"":109},{""sounds"":[""a""],""id"":61,""letters"":[""◌ะ""],""usageCount"":137}]",69,ADVERB,,,
73,พัก,"[{""sounds"":[""pʰ""],""id"":21,""letters"":[""พ""],""usageCount"":17},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250}]",1,VERB,,,
74,ตัว,"[{""sounds"":[""t""],""id"":48,""letters"":[""ต""],""usageCount"":79},{""sounds"":[""w""],""id"":18,""letters"":[""ว""],""usageCount"":94},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375}]",62,NOUN,,,
75,กับ,"[{""sounds"":[""k""],""id"":3,""letters"":[""ก""],""usageCount"":250},{""sounds"":[""a""],""id"":34,""letters"":[""◌ั""],""usageCount"":375},{""sounds"":[""p""],""id"":2,""letters"":[""บ""],""usageCount"":59}]",54,PREPOSITION,,,
76,คน,"[{""sounds"":[""kʰ"",""o""],""id"":63,""letters"":[""ค""],""usageCount"":39},{""sounds"":[""n""],""id"":7,""letters"":[""น""],""usageCount"":395}]",39,NOUN,,,
77,ละ,"[{""sounds"":[""l""],""id"":22,""letters"":[""ล""],""usageCount"":133},{""sounds"":[""a""],""id"":61,""letters"":[""◌ะ""],""usageCount"":137}]",38,PREPOSITION,,,
78,รอ,"[{""sounds"":[""r""],""id"":27,""letters"":[""ร""],""usageCount"":32},{""sounds"":[""ɔː""],""id"":31,""letters"":[""◌อ""],""usageCount"":181}]",12,VERB,,,
79,ลา,"[{""sounds"":[""l""],""id"":22,""letters"":[""ล""],""usageCount"":133},{""sounds"":[""aː""],""id"":13,""letters"":[""◌า""],""usageCount"":315}]",54,NOUN,,,
